b6d8a2f17a7045a698a2f17a70e5a682: cold
d123fb3fa46842dca3fb3fa468a2dc2a: warm
d0e5eddce1894eeba5eddce189eeeb1e: warm
9328ea70b0a14e72a8ea70b0a1be7205: warm
4eb53b0af9854ee5b53b0af9858ee588: warm
629e28d044d24b869e28d044d2fb86b6: warm
15ed1e91b63543a1ad1e91b635d3a108: warm
5301946891e74b6781946891e70b6732: warm
0cb9cabb12fe42b5b9cabb12fe22b57f: warm
324f1b69d62c42928f1b69d62c4292b3: warm
cf61d6ab75a54a63a1d6ab75a5aa63e3: warm
559c9d9f08b1479b9c9d9f08b1179b96: warm
48f2cf8552ee4b9ab2cf8552ee1b9a57: warm
b868dddabdfb4c85a8dddabdfbdc8578: warm
7edd56f1d9df4bf99d56f1d9df9bf9aa: warm
1965e8aa349044a4a5e8aa349084a438: warm
58cd5b0e8d2c493c8d5b0e8d2c593c46: warm
c9fe9aaa5e26447dbe9aaa5e26247d32: warm
d9b2fa618e5e4eacb2fa618e5ebeac27: warm
7c255ab91fdf4d4fa55ab91fdf2d4ff8: warm
476aa2a696414ff0aaa2a69641eff03f: warm
7f9cb3acaa96470d9cb3acaa96270d9c: warm
9f440c42868e4786840c42868e97862d: warm
20891884fb1c4279891884fb1cf2792a: warm
dc7978426c4f4710b978426c4f871041: warm
9cc391ecc54e4dc58391ecc54e5dc538: warm
4b1101a0eb1c466d9101a0eb1c266d09: warm
0aeaf66990b941baaaf66990b9b1ba8f: warm
3d52413c18d9414292413c18d9114291: warm
a1f9118bc8a943afb9118bc8a963af06: warm
6863348b982246e7a3348b982246e7fc: warm
687f849fc042426dbf849fc042126dd2: warm
b7cde311e00443378de311e004c33736: warm
b24c4a9bd2754ec38c4a9bd275fec390: warm
3c1f246c92e942319f246c92e9b231a3: warm
0ac5bc040d3c4bbc85bc040d3cbbbc3b: warm
7fcf02b95151496f8f02b95151996f47: warm
7fb6654712e24a50b6654712e2ea50e6: warm
78dbc042bdce43359bc042bdcea33568: warm
1c81cd4023ac421c81cd4023acd21c53: warm
631260f66ba349d09260f66ba319d0b6: warm
b1dcbfa47860493e9cbfa47860d93e5f: warm
8de050dc3f2945d6a050dc3f2995d67e: warm
79ec857780154e54ac85778015fe546c: warm
882a752242134ef2aa752242137ef231: warm
e77d7258f86b4af1bd7258f86b1af17b: warm
ef602db309464de1a02db309466de1c9: warm
edf98104175f42c9b98104175ff2c9f3: warm
c798a3b9906b411c98a3b9906be11c5e: warm
82e0821ce87d416ba0821ce87d016ba1: warm
502faf6f225040cfafaf6f2250c0cfe0: warm
1a5879efa75448d99879efa75408d9f6: warm
80fe5347a7fe4238be5347a7fe4238cd: warm
773f65e0cbf54d6cbf65e0cbf56d6c02: warm
1bcf55ad8a5245288f55ad8a52f52894: warm
07be1c9ff3aa4f98be1c9ff3aa4f9815: warm
dc03bf9552b44fff83bf9552b48fff93: warm
60da27914e3a48db9a27914e3a18db1a: warm
6fe0ec61e8334d15a0ec61e8334d1555: warm
a1da31c36d1b404a9a31c36d1b304a0d: warm
