dc87ebd84cdc4c4d87ebd84cdccc4d9f: cold
3d33fde5797e45aab3fde5797e85aa55: warm
e5100e1bbaf447eb900e1bbaf4a7ebb6: warm
19ce81c8f07d47068e81c8f07dc7068f: warm
7468b79305ab498ca8b79305ab798c57: warm
8bda4470017841ff9a4470017811ff78: warm
aa78229fdac84b30b8229fdac8eb306a: warm
1fde2b9fd8c041b49e2b9fd8c001b469: warm
755d1df37b004d8a9d1df37b005d8a18: warm
449d8e71a81446b39d8e71a81466b3d4: warm
0e7f980b061240e7bf980b061270e7c1: warm
a69f9de6112740b69f9de6112770b6d2: warm
7d9fa8c873f240439fa8c873f23043f9: warm
3333dd2f7f084edeb3dd2f7f081ede0e: warm
b8f2363a86b34689b2363a86b336899e: warm
f46aeb95cbe64da4aaeb95cbe6bda468: warm
4cd3da546fbd4e7a93da546fbd5e7a3b: warm
f73999f6b0b44a0cb999f6b0b49a0cde: warm
0b9769a89f6143df9769a89f6123df1c: warm
7498109e770c492098109e770c992063: warm
257492cf901b4f63b492cf901b8f63b6: warm
ed7d1535c1c74bdebd1535c1c73bdeaf: warm
1bfe1314140b4981be1314140b3981dc: warm
215b5f70fe3741e39b5f70fe37c1e398: warm
57fe0c4213bf41e1be0c4213bf91e1f8: warm
41f195554f3a4412b195554f3a841279: warm
a553438268c7451e93438268c7d51e7b: warm
d0a2697b884a4788a2697b884a4788d6: warm
78c7e6d42b74453987e6d42b74453966: warm
55c59a60e6494214859a60e649c2144c: warm
51f580fa9a614a6eb580fa9a614a6eb9: warm
6f8bc10f925440188bc10f9254a018a7: warm
29285cbf275449a9a85cbf2754d9a9c9: warm
7a6e8983897c4d01ae8983897cdd0181: warm
f75d3e012b3941509d3e012b39a150ea: warm
d1cb5df562b449b78b5df562b479b7f3: warm
21b85d42a99a4c5ab85d42a99a1c5a36: warm
60727266b7804bd1b27266b7804bd126: warm
d3731aedf68a4523b31aedf68a1523e6: warm
7173f7c5ed9b45abb3f7c5ed9ba5abf5: warm
8eb5809424d346b7b5809424d346b70c: warm
7c96c2939a254f7f96c2939a251f7fad: warm
da77729a07b748b8b7729a07b738b8ef: warm
6de8a123b60f43f3a8a123b60f23f3dd: warm
656b870af7d64d26ab870af7d66d2636: warm
8b2bb6321e5140f4abb6321e5120f4f6: warm
9169fb38da1f4051a9fb38da1fb051da: warm
16c4ae055ace4f6684ae055aceff66fd: warm
9aed69fd883a4713ad69fd883a7713f4: warm
ed400ab45e764c07800ab45e761c07c8: warm
c44647c675bc4bc68647c675bc4bc68c: warm
f12ecef87dd34e4aaecef87dd33e4a8f: warm
a36446a156034d44a446a156037d447f: warm
6931d357bdfc4aa9b1d357bdfcaaa99f: warm
0792633edecf465092633edecf865034: warm
6b6fb47cb4eb47b2afb47cb4eb37b2d4: warm
5455039a602646e295039a602656e270: warm
746bdb6b5f0246edabdb6b5f0206ed3e: warm
233a924ad01e4ffdba924ad01e5ffdc8: warm
48d14168ccc3427b914168ccc3d27b8a: warm
fbf88e7fb19e4d03b88e7fb19e4d0341: warm
f05b9f983ffc486a9b9f983ffc086af2: warm
21ae299fbbbe42ffae299fbbbe62ff3e: warm
1b1d90acc1814d5e9d90acc181fd5ee3: warm
d306e78e13ae43b586e78e13ae53b595: warm
eb1bd17acf22484d9bd17acf22984d9e: warm
4a473e9157ee4752873e9157ee175290: warm
7920db4d2aff4f38a0db4d2aff4f389a: warm
f02ae3a6d5aa4479aae3a6d5aaf47911: warm
a30e3d80217a46968e3d80217a469611: warm
cf7831f60f0b4186b831f60f0b01862b: warm
2119c7b10186468899c7b101866688d6: warm
484c6009533a461f8c6009533a961faa: warm
59dfc82ecaa340759fc82ecaa3907517: warm
a34145c6a56d41368145c6a56dd136b4: warm
881d924d01c748ff9d924d01c728ff36: warm
c21b9da2e0494d329b9da2e0497d32aa: warm
f690aeeed848462190aeeed848e62117: warm
786233ceeb164ff7a233ceeb161ff7ac: warm
9dacd4801c8a47d9acd4801c8a97d9c8: warm
994d742d5171448c8d742d5171648c62: warm
9f784f06d4f7485ab84f06d4f7f85ad1: warm
5c57075267c5481697075267c5781614: warm
b1bf0e78ef274c3cbf0e78ef277c3cab: warm
7a1542edf62043099542edf620d30941: warm
4959576ffda044cf99576ffda0c4cf04: warm
0278421564974a52b842156497fa5275: warm
38ebf6ee36a845e6abf6ee36a8d5e6f2: warm
cfff452c17a646c0bf452c17a6f6c0d1: warm
772518c7c6874137a518c7c6873137ed: warm
ec53a335a5854b8493a335a585eb8457: warm
ba0b02078ab44fbc8b02078ab40fbcc1: warm
72482743c8254dba882743c825ddbaf5: warm
3e345f0439ed43b7b45f0439ed63b7b9: warm
7e78b29547864c66b8b29547862c6602: warm
ee4bfce5e9764fdd8bfce5e9768fdd38: warm
848aeb9d6e4f48218aeb9d6e4f68210d: warm
976c053278364c6cac05327836ec6cbd: warm
27ec1bf475924014ac1bf47592d01486: warm
81da6e8b5ff749c69a6e8b5ff7e9c612: warm
24f605eeb60c4fb8b605eeb60c2fb83d: warm
fdd4eec62426488994eec62426a8893b: warm
37e2769a401b4dcda2769a401b6dcdf4: warm
13e9851cb1794dcfa9851cb179fdcf4e: warm
